zipcode,superzip,rank,city,state,adultpop,households,college,income,centile
1201,0,9.038365107236372,Pittsfield,MA,33416,12341,21.02586%,4.109708102970475,49
1220,0,9.391911647379434,Adams,MA,6720,2658,16.60714%,4.003192807504113,49
1222,0,8.790421306897867,Ashley Falls,MA,540,246,22.59259%,4.2384853094200405,49
1223,0,8.654691704601872,Becket,MA,1245,513,24.8996%,4.270276442890212,49
1225,0,9.022805248129341,Cheshire,MA,1945,815,18.09769%,4.198292029997842,49
1226,0,8.414495793177895,Dalton,MA,5320,2114,28.04511%,4.359617029662355,49
1230,0,8.256607344626158,Great Barrington,MA,6388,2294,36.39637%,4.272813847425521,49
1235,0,8.89192414015454,Hinsdale,MA,1698,698,21.73145%,4.191690244742026,49
1236,0,8.475328987317539,Housatonic,MA,1458,578,33.40192%,4.190503321275131,49
1237,0,8.638348312972704,Lanesboro,MA,1702,702,27.55582%,4.215062102818925,49
1238,0,8.74209519574531,Lee,MA,4459,1741,25.6784%,4.191907808026548,49
1240,0,7.61972421378267,Lenox,MA,3961,1326,49.55819%,4.380492458427104,49
1242,0,null,Lenox Dale,MA,71,41,11.26761%,4.659960408987511,49
1245,0,7.75833346749091,Monterey,MA,725,258,46.48276%,4.362537958090019,49
1247,0,9.568923494184217,North Adams,MA,11359,4349,14.16498%,3.9637256860057337,49
1253,0,null,Otis,MA,467,182,26.1242%,4.399721404744185,49
1254,0,7.7501841622578365,Richmond,MA,739,287,37.34777%,4.549625974504582,49
1255,0,8.740656691541368,Sandisfield,MA,608,213,21.875%,4.286826136354323,49
1256,0,9.177197153382929,Savoy,MA,509,203,15.1277%,4.182493860977557,49
1257,0,8.550434525196039,Sheffield,MA,1690,607,30%,4.215429104864595,49
1258,0,null,South Egremont,MA,114,44,42.10526%,4.289070806208147,49
1259,0,null,Southfield,MA,383,170,31.07049%,4.403359952610274,49
1262,0,7.829630389150193,Stockbridge,MA,642,180,45.17134%,4.352689606588631,49
1264,0,null,Tyringham,MA,181,66,55.80111%,4.383157245292755,49
1266,0,7.602401335665818,West Stockbridge,MA,1231,470,48.49716%,4.413310283463442,49
1267,0,7.392031567514591,Williamstown,MA,5101,1849,52.26426%,4.455891684467213,49
1301,0,8.91085558740525,Greenfield,MA,12897,4496,24.2537%,4.110029901579672,49
1330,0,7.962763930168115,Ashfield,MA,1119,435,44.41466%,4.284774545583621,49
1331,0,9.522373535291795,Athol,MA,8557,3449,13.63796%,4.012554801562054,49
1337,0,8.85623355614316,Bernardston,MA,1851,736,20.79957%,4.238126673747101,49
1338,0,null,Buckland,MA,18,4,38.88889%,3.4357759263485685,49
1339,0,8.753371421000903,Charlemont,MA,1386,554,26.40693%,4.162500439082312,49
1340,0,8.860924729719041,Colrain,MA,1253,499,24.58101%,4.1366406697037705,49
1341,0,7.665753431861699,Conway,MA,1215,499,47.3251%,4.400026412322624,49
1342,0,7.993282328101591,Deerfield,MA,701,266,33.80885%,4.492586199324209,49
1344,0,9.344084242025778,Erving,MA,600,259,12.16667%,4.162561466057344,49
1346,0,null,Heath,MA,211,82,29.38389%,4.286826136354323,49
1349,0,9.569133071885917,Millers Falls,MA,1112,402,14.83813%,3.9413244930137155,49
1350,0,null,Monroe Bridge,MA,42,16,16.66667%,3.3245502912383444,49
1351,0,8.25712628599743,Montague,MA,1686,665,31.25741%,4.389179864214634,49
1355,0,8.069968149059841,New Salem,MA,637,255,41.60126%,4.2780505768785115,49
1360,0,8.400884069015854,Northfield,MA,1992,827,30.77309%,4.308011350532185,49
1364,0,9.350537002469466,Orange,MA,5024,1985,15.84395%,4.054290328453674,49
1366,0,7.860570785538664,Petersham,MA,855,297,45.61403%,4.323589197349658,49
1367,0,null,Rowe,MA,269,110,29.73978%,4.297999436952448,49
1368,0,9.015055148790369,Royalston,MA,791,313,16.94058%,4.232751964433399,49
1370,0,8.39185670010494,Shelburne Falls,MA,3080,1130,33.83117%,4.242082581967643,49
1373,0,8.006367567650246,South Deerfield,MA,3835,1442,36.34941%,4.434858619669646,49
1375,0,7.8119734296220225,Sunderland,MA,2291,795,50.50197%,4.238881463127664,49
1376,0,9.353921100453707,Turners Falls,MA,4447,1702,16.528%,4.031646834672828,49
1378,0,null,Warwick,MA,496,203,25%,4.092368277323596,49
1379,0,7.918264686095274,Wendell,MA,615,214,41.62602%,4.374713458469657,49
1380,0,null,Wendell Depot,MA,23,11,17.3913%,3.8586327771686024,49
1420,0,9.398561160701128,Fitchburg,MA,24863,9456,15.40844%,4.036138128813206,49
1430,0,8.48528964240323,Ashburnham,MA,3606,1549,26.56683%,4.346798082232359,49
1431,0,8.37216741936598,Ashby,MA,1869,780,25.52167%,4.441041019577963,49
1432,0,8.492695559815838,Ayer,MA,5671,1797,24.14036%,4.394811558132174,49
1436,0,9.339788439163069,Baldwinville,MA,2095,780,10.54893%,4.207909380361838,49
1438,0,null,East Templeton,MA,73,38,8.21918%,4.5688743910878475,49
1440,0,9.286653054825347,Gardner,MA,14559,5209,15.07659%,4.118574954183836,49
1450,1,6.618738983517219,Groton,MA,6048,2549,53.83598%,4.790134082060134,49
1451,1,4.804021044733257,Harvard,MA,3313,1457,75.8527%,5.056251537815954,49
1452,0,8.048788283534199,Hubbardston,MA,2504,1111,33.82588%,4.458726530603458,49
